연번,현행 용어,쉬운 용어,한자 또는 외국어
154,누낭비강,눈물주머니코안,淚囊鼻腔
155,누낭염,눈물주머니염,dacryocystitis
156,누도,눈물길,lacrimal passages
157,누선염,눈물샘염,dacryoadenitis
158,누안,눈물흘림,epiphora / watery eye
159,누액,눈물,tears
160,늑골,갈비뼈,rib
161,늑막,"가슴막, 흉막",pleural
162,다뇨,소변량과다,polyuria
163,다맥색,진한 갈색,茶麥色
164,다모증,털과다증,pilosis
165,다발성신경염,"여러신경염, 다발신경염",polyneuritis
166,다한증,땀과다증,polyhidrosis/ hyperhidrosis
167,다행증,이상행복감,多幸症/euphoria
168,단락술,"지름길, 지름술, 션트, 사잇 길",shunt
169,단신증,단일신장증,單腎症
170,단안증,외눈증,cyclopia
171,단회투여,1회 투여,單回投與
172,담객출,가래뱉음,痰喀出
173,담관,쓸개관,bile duct
174,담낭,쓸개,gallbladder
175,담낭절제술,쓸개절제술,cholecystectomy
176,담낭축농,"고름쓸개, 고름담낭",膽囊蓄膿
177,담녹색,"엷은녹색, 연두빛",淡綠色
178,담도,"담관, 쓸개길",biliary tract
179,담도폐쇄증,쓸개길폐쇄증,biliary atresia
180,담마진,두드러기,urticaria
181,담즙,쓸개즙,gall
182,담즙울체,쓸개즙정체,cholestasis
183,당내성,포도당 내성,glucose tolerance(당부하)
184,대구치,큰어금니,molar
185,대동맥류,대동맥자루,大動脈瘤/aortic aneurysm
186,대망,그물막,omentum
187,대증요법,증상별로 치료하는 방법,symptomatic therapy
188,대증적,증상에 대응하여,對症的
189,대퇴,넙적다리,thigh
190,대퇴골,넙적다리뼈,femur
191,도찰하다,바르고 문지르다,
192,도포하다,바르다,
193,동계,두근거림,動悸/palpitation
194,동요,안절부절,restlessness
195,동정,균의 확인,identified
196,동창,언 상처,凍瘡/pernio/Chilblain
197,동통,통증,pain
198,두개골,머리뼈,cranium
199,두경감,"현기증, 어지러움",頭頸感
200,두경부,머리목부위,頭頸部
201,두부경증감,"현기증, 어지러움",lightheadedness
202,두중감,머리무거움,頭重感
203,둔부,"엉덩이, 볼기",臀部/buttock/gluteal region
204,등황색,주황색,橙黃色
205,디스키네시아,운동이상증,dyskinesia
206,만곡족,"휜발, 곤봉발",cyllosis/clubfoot
207,말단지절,끝관절 마디,末端指節
208,망상,"그물, 망",reticular
209,망상적혈구,그물적혈구,reticulocyte
210,맥,맥박,pulse
211,맥관부종,"혈관부기,혈관부종",angioedema
212,맥관염,혈관염,vasculitis
213,맥립종,다래끼,麥粒腫 /hordeolum/sty/stye
214,면역부전,면역반응약화,免疫不全 /immunoincompetent
215,면정,안면종기,面疔
216,모창,털종기증,毛瘡/sycosis
217,무언증,벙어리증,無言症/mutism
218,무유증,젖마름증,無乳症/agalactia
219,무지외반증,"엄지발가락가쪽휨증, 무지 외반증",hallux valgus
220,미각도착,맛을 제대로 못느낌,味覺倒錯
221,미골,꼬리뼈,尾骨/coccygeal
222,미란,짓무름,靡爛/erosion
223,미로염,내이염/속귀염,labyrinthitis
224,미소혈관,미세혈관계,微小血管/ microvasculature
225,미황색,연노랑,微黃色
226,밀전하여,"뚜껑을 꼭 닫아, 단단히 마 개로 막아",密栓하여
227,박리,벗겨내기/ 벗겨짐,剝離
228,반수치사량,반수치사용량,半數致死量
229,반추,되새김,反芻/rumination
230,반흔,흉터,瘢痕/cicatrix
231,발백선증,무좀,tinea pedis
232,발적,충혈되어 붉어짐,發赤/flare
233,발치,이를 뽑음,拔齒/odontectomy
234,발한,땀이 남,發汗/diaphoresis
235,발현,"드러냄, 드러내 보임",發現
236,방사선 조사,방사선 쬐임,irradiation
237,배굴,"발등굽힘, 손등굽힘",dorsiflexion
238,배담작용,쓸개즙분비작용,排膽作用
239,배부,등,背部/back
240,배측,"등쪽, 등",dorsal
241,배통,등 통증,背痛/back pain
242,백모증,"흰털증, 백모증",poliosis
243,번갈,심한갈증,煩渴
244,범혈구,전체 혈구,汎血球
245,변력제,심장근육수축 조절약,
246,변색백선,어루러기,撫風(전풍)/ tinea versicolor
247,변의,변을 보고 싶은 느낌,便意
248,병소,아픈 부위,病所
249,병용,함께 복용(사용),倂用
250,병인,병의 원인,病因
251,병태,병의 상태,病態
252,병합,합침,倂合
253,보장구,장애인 보조기,保障具
254,보체,"도움체, 보체",complement
255,보체고정법,도움체고정법,
256,보행,걸음,步行/gait
257,복명,창자 가스소리,腹鳴/rugitus
258,복부,배부분,腹部/abdomen
259,복수,뱃물,ascites
260,복시,겹보임,複視/diplopia/double vision
261,복청,겹듣기,複聽/diplacusis
262,본제,이 약,本劑
263,봉소염,벌집염,蜂巢炎/Cellulitis
264,봉합,꿰맴,suture
265,부신,콩팥위샘,adrenal gland
266,부안검,덧눈꺼풀,epiblepharon
267,부유감,들뜨는 느낌,浮遊感
268,부인,부수적 원인,副因
269,부전수축,심장박동정지,asystole
270,부정교합,"맞물림장애, 교합장애, 부정 교합",malocclusion
271,부종,부기,浮腫/edema
272,부하,스트레스,stress
273,분무하다,뿌리다,spray
274,분비선,분비샘,分泌腺
275,분시박출량,분당박출량,分時搏出量/cardiac output
276,불온,불안감,不穩
277,불용성,녹지 않는,不溶性
278,불현성,증상이 나타나지 않는,不顯性/inapparent
279,불현성화,겉으로 드러나지않게,不顯性化
280,비,코,鼻/nose
281,비갑개절제술,코선반절제술,turbinectomy
282,비강,코안,鼻腔/nasal cavity
283,비강내,코안,nasal cavity
284,비강진,잔비늘증,粃糠疹/pityriasis
285,비골,종아리뼈,fibula
286,비루,콧물,鼻淚/rhinorrhea
287,비문증,날파리증,飛蚊症/myodesopsia
288,비색법,색측정법,比色法/ colorimetry
289,비염,코염,rhinitis
290,비장,지라/비장,脾臟/spleen
291,비절,"코 부스럼증, 코종기",鼻癤/nasal furuncle
292,비종대,지라비대/비장비대,脾腫大/splenomegaly
293,비출혈,코피,鼻出血/nasal bleeding/nasal hemorrhage
294,비충혈/비폐,코막힘,鼻充血/鼻閉/nasal congestion
295,비측,코쪽,鼻側
296,빈맥,빠른맥/빈맥,頻脈/tachycardia
297,빈삭호흡/급속호흡,빠른호흡,tachypnea
298,빈호흡,빠른 호흡,tachypnea
299,사경,기운목,torticollis/ 斜頸
300,사지냉감,팔다리 찬느낌,四肢冷感
301,산동,동공확대,散瞳/pupillary dilatation
302,산립종,콩다래끼,霰粒腫/chalazion
303,산미,신 맛,酸味
304,산반동,(반작용으로 인한) 위산과 다분비,酸反動
305,산부,산모,産婦
306,산욕/ 산욕기,출산후기,産褥期 /puerperium/puerperal
307,산후 출혈,분만 후 출혈,産後 出血/postpartum bleeding/postpartum hemorrhage
308,살세포,살해세포,殺細胞/killer cell
309,상경적으로,경쟁적으로,相競的으로
310,상순,윗입술,上脣/upper lip
311,상악골,위턱뼈,上顎骨/maxilla/upper jaw
312,상악골,위턱뼈,上顎骨/maxilla/upper jaw
313,상안검,윗눈꺼풀,上眼瞼
314,상완골,위팔뼈,上腕骨/humerus
315,상완외측,위팔 바깥쪽,上腕外側
316,상용,일상적으로 사용,常用
317,상피,"겉껍질, 겉피부",上皮
318,상회,"웃돎, 웃돌다",上廻/excess
319,색륜,시각 달무리,visual halos
320,서맥,느린맥,徐脈 /bradycardia/bradyrhyth mia
321,선조,튼살,striae
322,선통,쏘는 통증,gnawing pain
323,설,혀,舌/tongue
324,설변색,혀의 변색,舌變色
325,설안염,눈(snow)에 의한 눈의 염증,雪眼炎/雪盲/snow blindness/ opthalmia nivalis/niphablepsia/ chionablepsia
326,설염,혀염,舌炎/glossitis
327,설유착증,혀유착증,ankyloglossia
328,설하,혀밑,舌下/sublingual
329,세균총,세균집단,細菌叢/bacterial flora
330,세그먼트,"조각, 분절, 부분, 구역",segment
331,세극등,틈새등,slit lamp
332,세뇨관,콩팥뇨세관,細尿管/renal tubule
333,세동,잔떨림,fibrillation
334,소구증,작은입증,microstomia
335,소상,긁어서 생긴 상처,搔傷
336,소수포(성)/소포,물집/ 잔물집,vesicula/小胞
337,소실,없어짐,消失
338,소실,"사라짐, 없어짐, 잃어버림",消失/effacement
339,소양감/소양증,가려움/가려움증,瘙痒症/itch
340,소염,항염,anti-inflammatory
341,소염제,"항염증제, 염증약",消炎劑/anti-inflammatory agent
342,소이증,작은귀증,microtia
343,소파술,긁어냄(술),搔爬/curettage
344,속발성,"이차, 제이",續發性/secondary
345,속발성 고혈압,이차 고혈압,secondary hypertension
346,속행,계속함,續行
347,쇄골,빗장뼈,clavicle
348,수명/수명감,눈부심,羞明感/ dazzling/glare/ phengophobia/photophobi a
349,수복,"회복(피부 새살 돋음), 원상태로 만듦",修復/repair
350,수산결석,수산칼슘돌,calcium oxalate stone
351,수의근,맘대로근,voluntary muscle
352,수족구,손발입병,hand-foot-mouth disease
353,수족냉증,손발이 차가움,
354,수족지,손발가락,手足指
355,수지,손가락,手指
356,수태능,임신능력,受胎能
357,수포음,거품소리,rale
358,수활액낭종,"물낭, 물주머니",hygroma
359,수회,여러 차례,數回
360,숙지,자세히 앎,熟知
361,순목,눈 깜박거림,瞬目/nictitation
362,슬개골,무릎뼈,patella
363,슬관절,무릎관절,knee joint
364,슬와근의,오금,膝蛙/ popliteal
365,습윤,습기 참,濕潤
366,시겔라증,이질,shigellosis
367,시몽감,흐린시력,視朦感
368,시아노시스,청색증,cyanosis
369,시조절장애,시각조절장애,視調節障碍
370,식간에,식사때와 식사때 사이에,
371,식체,체함,
372,식피술,피부이식술,skin graft
373,식피창,피부 이식후 생긴 상처,植皮瘡
374,신경근병증,신경뿌리병증,radiculopathy
375,신독성,신장독성,腎毒性/nephrotoxicity
376,신성 빈혈,신장성 빈혈,腎性貧血
377,신세뇨관,신장세뇨관,
378,신손상,신장손상,腎損傷
379,신염,신장염,腎炎
380,신장,콩팥,kidney
381,신장병증,콩팥병증,nephropathy
382,신장애,신장장애,腎障碍
383,신증,콩팥증,腎症/ nephrosis
384,실독증,읽기곤란증,dyslexia
385,실보증,보행불능(증),atremia/abasia
386,실행증,행위상실증,apraxia
387,심계항진,두근거림,心悸亢進/ palpitations
388,심박율,심장박동율,心搏率/heart rate
389,심상성여드름,(보통)여드름,尋常性/ acne vulgaris
390,심와부,명치부위,epigastric
391,심인성,"정신탓, 마음탓",psychogenic
392,심인성,심장성,cardiogenic
393,심장압전,심장눌림증,cardiac tamponade
394,심재성,드러나지 않는,深在性
395,심폐독성,폐동맥 고혈압,pulmonary hypertension
396,심흉비증대,심횽비 증가,心胸脾增大/cardiothoracic ratio
397,쌍태,쌍둥이,twin/geminus
398,쌍태임신,쌍둥이임신,bigeminal pregnancy/twin pregnancy
399,아나필락시쇽,과민성 쇼크,anaphylaxis shock
400,아두 골반 불균형,머리 골반 불균형,cephalopelvic disproportion
401,아류,비슷한 종류,亞流
402,아시도시스/산성증,산증,酸性症/ acidosis
403,아키네시아,운동불능증,akinesia
404,아포,"홀씨,포자",芽胞/ spore
405,악안면,턱얼굴,顎顔面/ maxillofacial
406,안,눈,眼/ eye
407,안각,눈구석,眼角/canthus
408,안검,눈꺼풀,眼瞼/eyelid/lid/palpebra
409,안검내반,"속말림, 눈꺼풀속말림",眼瞼內反/ entropion
