연번,현행 용어,쉬운 용어,한자 또는 외국어
626,척주측만증,척주옆굽음증,scoliosis
627,척주후만증,척주뒤굽음증,脊柱後彎症 /kyphosis/gibbosity
628,천골,엉치뼈,薦骨/sacrum
629,천공,뚫림,穿孔/perforation
630,천명,숨을 쌕쌕거림,喘鳴/ wheezing
631,천문,숫구멍,泉門/ fontanelle
632,천자,뚫기,穿刺/ puncture
633,천자통,찌름통증,穿刺痛/ boring pain/
634,천포창,물집증,天疱瘡/ pemphigus
635,청열,열을 내려줌,淸熱
636,체감,피부(로) 느낌,體感
637,체순환,"온몸순환, 체순환",體循環/ systemic circulation
638,체액저류,체액 고임,pooling
639,초발,처음발생,初發
640,초발성,처음 발생,初發性
641,초회량,처음 복용(사용)량,初回量/ initial dose
642,초회용량,처음 투여량,初回用量
643,초회통,처음통증,初回痛
644,최기형,기형발생,催畸形/ teratogenesis
645,최기형성,기형유발성,催畸形性/ teratogenic
646,추골,망치뼈,malleus
647,추벽,주름,fold
648,충수절제술,"막창자꼬리절제술, 맹장꼬리절 제술",appendectomy
649,충진,"채움, 메움, 충전, 충만",filling
650,췌장,이자,pancreas
651,취한증,땀악취증,臭汗症/ bromhidrosis
652,치경,잇몸,齒莖/gingiva
653,치근,치아뿌리,apical
654,치근관,"치아뿌리관, 치근관",root canal
655,치루/ 항문누공,항문샛길,anal fistula
656,치수,치아속질,齒髓/ dental pulp/tooth pulp
657,치아맹출,"이돋이, 치아맹출",eruption
658,치육 비대,잇몸이 붓는 증상,齒肉肥大
659,치은비후,잇몸이 붓는 증상,齒齦肥厚
660,치은염/치육염,잇몸염,齒齦炎/gingivitis/齒肉炎 /ultis
661,치조,이틀,齒槽/dental alveolus/alveolus
662,치주,치아주위조직,齒周/ periodontinum
663,치주질환,치아주위조직질환,periodontal disease
664,침강,가라앉음,沈降
665,침흔,주사침 자국,針痕
666,카피약,"후발약, 제네릭의약품",generic drug
667,타액,침,唾液/ saliva
668,타제,다른 약,他劑
669,탈감작,"과민성 제거, 약화",脫感作/ desensitization
670,토출,구토,"吐出/ emesis, vomiting"
671,토혈,혈액구토,吐血/hematemesis
672,파열,터짐,rupture
673,파탄출혈,파열성 출혈,破綻出血/ break through bleeding
674,파행(증),절뚝거림,跛行/claudication
675,편평족,평발,flat foot
676,폐농양,폐고름집,lung abscess
677,폐부전,폐기능 저하,肺不全/ failure
678,포도상구균,포도알균,staphylococcus
679,포진,물집,blister
680,표재성,표면에 있는,superficial
681,피진,피부 발진,皮疹
682,피하,피부밑,皮下
683,핍뇨증,소변감소증,乏尿/ oliguria
684,핍정액증,정액저하증,hypospermia
685,하리,설사,下痢/diarrhea
686,하수,처짐,下垂/ ptosis
687,하악,아래턱,
688,하악골,아래턱뼈,下顎骨/ mandible/lower jaw
689,하제,설사약,下劑/ laxatives
690,하지,다리,下肢/ lower extremity/lower limb
691,하퇴궤양,다리종아리궤양,下腿潰瘍/the (lower) leg
692,한진,땀띠,汗疹/ miliaria
693,합지증,손발가락붙음증,合指症 /syndactylia/syndactylism
694,항삼출작용,진물억제작용,抗渗出
695,항성/하성,쉰목소리,hoarseness trachyphonia
696,해소,기침,咳嗽(해수)/ cough
697,헤르니아,탈장,hernia
698,헤마토크리트,적혈구용적률,hematocrit
699,현기/현기증/현훈,어지러움,眩氣症/眩暈 /dizziness/giddiness
700,현성화,겉으로 드러나게,顯性化
701,현운,"현기증, 어지러움",眩暈/ vertigo
702,혈괴,피덩이,血塊/blood clot
703,혈병퇴축,"혈병뒤당김, 응혈뒤당김",血餠退縮/clot retraction
704,혈행역학,"혈액동력학, 혈류역학",hemodynamics
705,형성부전,형성장애,形成不全/ hypoplasia
706,호기,날숨,expiration
707,호기성 호흡곤란,내쉬기 곤란,expiratory dyspnea
708,호발,자주 발생,好發
709,호전,나아짐,好轉
710,호흡완만,느린호흡,bradypnea
711,혼몽,정신이 흐릿하고 가물가물함.,昏朦
712,혼용,섞어씀,混用
713,혼탁,"어지러움, 흐림",混濁/ muddiness
714,홍피증,홍색피부증,紅皮症 /erythroderma
715,화농,곪음,化膿/ suppuration
716,확진,확정 진단,definite diagnosis
717,환부,질환 부위,患部
718,활액/ 활액막,"윤활, 윤활막",synovial
719,황색시증,노랗게 보이는 병,黃色視症/ xanthopia
720,황시,노랗게 보임,黃視/ xanthopia
721,횡격막,가로막,橫隔膜/ phren diaphragm
722,횡문근융해증,횡문근용해,rhabdomyolysis
723,휴약,복용(사용) 중지,休葯
724,흉,가슴,胸/pecrotal/thoracic
725,흉내고민,가슴쓰림,胸內苦悶
726,흉선,가슴샘,胸腺/ thymus/thymus gland
727,흉통,가슴통증,胸痛/ chest pain
728,흑모설,검은털모양혀,黑毛舌/ black hairy tongue
729,흑변,검게 변함,黑變
730,흑토증,혈액구토,black vomit
731,흡기,들숨,inspiration
732,흡기성 호흡곤란,들이쉬기 곤란,inspiratory dyspnea
733,흡인,빨기,suction
734,희석,묽게 함,稀釋/dilution
735,희치증,치아부족증,oligodontia
736,S상결장,구불결장,sigmoid colon
737,가감,더하거나 줄임,加減
738,가역성,회복가능한,可逆性/ reversibility
739,가온,온도를 올림,加溫
740,각막연화증,각막무름증,角膜軟化症/ keratomalacia
741,각화,각질화,角化/ cornification
742,간헐성,시간 간격을 두고 되풀이하여,間歇性/ intermittent
743,견비부,어깨와 팔,肩臂/ 肩臂部
744,결절,튀어나온 부위,結節/ tuber
745,경상이성체,거울상 이성질체,鏡像異性體/ enantiomer
746,경축,경련과 수축이 일어나 수축 상태가 지속되는 현상,痙縮
747,고투여량,투여량이 많음,高投與量
748,고함량,많은 함량,高含量
749,골질환,뼈 질환,骨疾患
750,과호흡,과다호흡,過呼吸
751,국한성,특정 부분에 나타나는,局限性/ circumscribed
752,굴곡,구부러진,屈曲
753,근좌상,근육타박상,挫傷/ contusion
754,기명력,새롭게 경험한 것을 기억하 는 능력,記銘力
755,기저치,기본값,基底値/ background/ base/ basis
756,기형발현,기형발생,奇型發顯
757,난백,달걀흰자,albumen/ 卵白
758,혈전,혈관 막힘,血栓
759,늑간신경통,갈비뼈 사이 신경통,肋間神經痛
760,다갈증,목마름증,多渴症
761,다발성,여러 부위에서 동시에 나타 나는,多發性
762,다형성홍반,여러모양의 붉은 반점,多形性紅斑
763,단백뇨,단백질이 섞인 오줌,蛋白尿/ proteinuria
764,두부단독,머리나 얼굴이 세균 감염 등으로 열이 나고 붉어지며 붓고 아픈 증상,頭部 丹毒
765,맥관석회화,혈관석회화,脈管石灰化
766,무시,앞이 보이지 않음,無視
767,반상출혈,피부에 검보랏빛 얼룩점이 생기는 내부출혈,斑狀出血
768,반점상,얼룩덜룩한 모양의,斑點
769,발포정,물에 녹여 복용하는 알약,發泡錠
770,배농,고름 빼기,排膿.
771,배뇨,소변을 눔,排尿
772,백대하,흰색 질분비물,白帶下
773,번열,열이 나고 가슴 속이 답답 한 증상,煩熱.
774,변잠혈,피섞인 변,便潛血
775,병변,병에 의한 몸의 변화,病變
776,병중병후,병을 앓는 동안이나 회복 후,病中病後
777,복통,배아픔,腹痛
778,비경구,먹는 약이 아닌,非經口
779,산혈증,혈액이 산성화 되는 증상,酸血症/ acidosis
780,서방형,효과가 지속적으로 나타나는,徐放形
781,안내압,눈내부 압력,眼內壓
782,암적색,검붉은 색,暗赤色
783,야맹증,밤에 잘 못 보는 증상,night blindness/ 夜盲症
784,연소성,어리거나 젊은나이에 나타나는,年少性
785,오한,춥고 떨리는 증상,chill/ 惡寒
786,요단백,소변에 포함된 단백질,尿蛋白
787,요변색,소변색이 변함,尿變色
788,요침사,소변 침전물 검사,尿沈渣
789,용혈성,적혈구 파괴성,溶血性
790,잔뇨감,소변을 누고난 후에도 다 눈 것 같지 않은 느낌,殘尿
791,점증투여,점차적으로 늘려 투여하는,漸增投與
792,제증상,여러 증상,諸症狀
793,제질환,여러 질환,諸疾患
794,진해,기침을 그치게 함,鎭咳
795,특발성,원인 불명의,特發性
796,폐색,닫혀서 막힘,閉塞
797,풍질,신경계 질환,風疾
798,항응혈제,혈액응고저지제,抗凝血濟
799,협착,좁아짐,狹窄
800,홍반,붉은 반점,erythema/ 紅斑.
801,화상양,불에 덴 듯한 모양,火傷樣
802,황반,피부나 눈 흰자위가 노래짐,黃斑/ yellow spot
